movieCd,movieNm,openDt,audiAcc,movieNmEn,showTm,nations,genres1,genres2,director,actors1,actors2,actors3,audit,companyCd,companyNm,rating
20224143,킹 리차드,2022-03-24,8691,King Richard,144,미국,가족,드라마,레이날도 마르쿠스 그린,윌 스미스,언자누 엘리스,사니야 시드니,12세이상관람가,20100043.0,워너브러더스 코리아(주),7.77
20224142,세븐틴 파워 오브 러브 : 더 무비,2022-04-20,41513,SEVENTEEN POWER OF LOVE : THE MOVIE,114,한국,공연,다큐멘터리,오윤동,에스쿱스,정한,조슈아,전체관람가,20203082.0,씨제이포디플렉스 주식회사,9.84
20224109,장화신은 고양이: 끝내주는 모험,2023-01-04,823213,Puss in Boots: The Last Wish,102,미국,애니메이션,,조엘 크로포드,안토니오 반데라스,셀마 헤이엑,올리비아 콜맨,전체관람가,20100603.0,유니버설픽쳐스인터내셔널 코리아(유),8.41
20224069,뱅드림! 팝핀' 드림!,2022-03-24,4965,BanG Dream! Poppin' Dream!,70,일본,애니메이션,,카키모토 코다이,아이미,오오츠카 사에,니시모토 리미,전체관람가,20137515.0,(주)애니플러스,8.88
20223953,블랙라이트,2022-03-09,23939,Blacklight,104,미국,액션,스릴러,마크 윌리엄스,리암 니슨,,,15세이상관람가,20139095.0,(주)퍼스트런,6.5
20223950,메리 미,2022-03-16,9190,Marry Me,112,미국,멜로/로맨스,코미디,캣 코이로,제니퍼 로페즈,오웬 윌슨,말루마,12세이상관람가,20100603.0,유니버설픽쳐스인터내셔널 코리아(유),10.0
20223940,민스미트 작전,2022-05-11,33167,Operation Mincemeat,127,미국,드라마,전쟁,존 매든,콜린 퍼스,매튜 맥퍼딘,켈리 맥도날드,12세이상관람가,2019641.0,(주)스튜디오 산타클로스엔터테인먼트,7.28
20223839,버즈 라이트이어,2022-06-15,338836,Lightyear,104,미국,애니메이션,액션,앵거스 맥클레인,크리스 에반스,타이카 와이티티,피터 손,전체관람가,20161801.0,월트디즈니컴퍼니코리아 유한책임회사,7.42
20223828,나의 히어로 아카데미아 더 무비: 월드 히어로즈 미션,2022-03-09,47425,My Hero Academia: World Heroes' Mission,104,일본,애니메이션,,나가사키 켄지,,,,12세이상관람가,20111081.0,(주)스마일이엔티,8.95
20223743,나이트메어 앨리,2022-02-23,38392,Nightmare Alley,150,미국,범죄,드라마,기예르모 델 토로,브래들리 쿠퍼,케이트 블란쳇,토니 콜렛,15세이상관람가,20161801.0,월트디즈니컴퍼니코리아 유한책임회사,7.85
20223722,B컷,2022-03-30,3914,B Cut,92,한국,범죄,액션,김진영,김동완,전세현,김병옥,청소년관람불가,20173821.0,(주)영화사 필,9.35
20223676,문폴,2022-03-16,190606,Moonfall,130,미국,액션,드라마,롤랜드 에머리히,할리 베리,패트릭 윌슨,존 브래들리,12세이상관람가,20100634.0,(주)누리픽쳐스,5.62
20223614,루이스 웨인: 사랑을 그린 고양이 화가,2022-04-06,36926,The Electrical Life of Louis Wain,111,미국,드라마,멜로/로맨스,,베네딕트 컴버배치,클레어 포이,올리비아 콜맨,12세이상관람가,20110854.0,(주)씨제이이엔엠,7.72
20223398,장민호 드라마 최종회,2022-01-24,9825,Jang Minho Drama,106,한국,공연,,,,,,전체관람가,20063188.0,씨제이 씨지브이(CJ CGV)(주),9.9
20223397,도어맨,2022-03-16,3849,The Doorman,97,미국,액션,,기타무라 류헤이,루비 로즈,장 르노,,15세이상관람가,20203701.0,(주)블루라벨픽쳐스,
20223388,토르: 마법 검의 전설,2022-05-04,7835,Vic the Viking and the Magic Sword,77,독일,애니메이션,판타지,,,,,전체관람가,2013216.0,(주)박수엔터테인먼트,4.74
20223308,극장판 바다 탐험대 옥토넛 : 해저동굴 대탈출	,2022-02-17,25726,OCTONAUTS: Octonauts and the Caves of Sac Actun,72,영국,애니메이션,액션,,하성용,정재헌,엄상현,전체관람가,20141088.0,와이드 릴리즈(주),6.19
20223278,극장판 주술회전 0,2022-02-17,635802,Jujutsu Kaisen: Zero,104,일본,애니메이션,,박성후,오가타 메구미,하나자와 카나,코마츠 미카코,15세이상관람가,20205722.0,(주)대교 미디어콘텐츠사업본부,8.94
20223271,리디밍 러브,2022-03-23,3738,Redeeming Love,133,미국,멜로/로맨스,,D.J. 카루소,아비가일 코웬,톰 루이스,팜케 얀센,15세이상관람가,20205721.0,(주)까멜리아이엔티,6.89
20219893,상견니 대만판 12화,2021-08-31,5596,Someday or One Day,72,기타,드라마,멜로/로맨스,황천인,가가연,허광한,시백우,12세이상관람가,20101102.0,오드,8.52
20219826,용과 주근깨 공주,2021-09-29,63985,Belle : The Dragon and the Freckled Princess,121,일본,애니메이션,어드벤처,호소다 마모루,나카무라 카호,사토 타케루,나리타 료,전체관람가,20141088.0,와이드 릴리즈(주),6.66
20219822,맨 인 더 다크 2,2021-09-01,73638,Don't Breathe 2,98,미국,공포(호러),스릴러,로도 사야구에즈,스티븐 랭,매들린 그레이스,브렌단 섹스턴 3세,청소년관람불가,20173221.0,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점,8.53
